,Unnamed: 0,Interval,Utc,FrontBP,SteerAng,Battery,AccelX,AccelY,AccelZ,Yaw,Pitch,Roll,Gsum,GsumMax,GsumPct,RPM,TPS,InjectorPW,Baro,MAP,Lambda,IAT,EngineTemp,EOP,EOT,WSFR,WSFL,WSRR,WSRL,TCSet,TCSlip,TCComp,TCCut,Analog8,OilTemp,AA_On,ThermLF1,ThermLF2,ThermRR1,ThermRR2,ThermLF3,ThermLF4,ThermLF5,ThermLF6,ThermLF7,ThermLF8,ThermRR3,ThermRR4,ThermRR5,ThermRR6,ThermRR7,ThermRR8,AA_LowDrag,Gear,AA_On1,AA_LowDrag1,Fuel_Mix,AA_Packages,Latitude,Longitude,Speed,Altitude,GPSSats,GPSQual,GPSDOP,run,x,y,label
0,4,1717581,1746076495211,3.9,134.0,,-0.02,-0.04,0.92,0.0,-1.0,0.0,0.92,0.92,100.0,6616.0,9.7,3.58,,10.41,0.955,64.6,,75.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,38.993969,-76.93988,0.05,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
1,9,1717681,1746076495314,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,38.993969,-76.93988,0.04,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
2,14,1717781,1746076495414,5.78,134.0,,-0.04,0.06,0.91,0.0,-1.0,0.0,0.92,0.94,97.0,6920.0,0.7,1.4,,8.25,0.954,64.6,,76.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,38.993969,-76.93988,0.06,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
3,19,1717881,1746076495514,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,38.993969,-76.93988,0.05,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
4,24,1717981,1746076495614,7.67,134.0,,-0.04,0.03,0.93,0.0,-1.0,0.0,0.94,0.98,95.0,6534.0,14.7,3.36,,10.17,0.954,64.6,,69.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,38.993969,-76.93988,0.07,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
5,29,1718081,1746076495714,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,38.993969,-76.93988,0.11,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
6,34,1718181,1746076495814,5.78,134.0,,-0.03,0.04,0.96,0.0,-1.0,0.0,0.96,1.0,96.0,6782.0,0.0,1.4,,8.71,0.955,64.6,,72.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,38.993969,-76.93988,0.15,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
7,39,1718281,1746076495914,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,38.993969,-76.93988,0.05,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
8,44,1718381,1746076496006,5.15,134.0,13.95,0.01,0.18,1.17,3.0,-1.0,0.0,1.18,1.22,96.0,5642.0,0.0,1.4,15.0,8.46,0.956,64.6,86.0,60.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.993969,-76.93988,0.0,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
9,49,1718481,1746076496116,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,38.993969,-76.93988,0.08,27.3,29.0,3.0,0.9,rc_1,-48.174552678999945,-49.35597976972626,unlabeled
